Claim_topic_id,Claim_text,Evidence_text,Label
Claims_Climate_B2.0_1,New Zealand has a carbon trading system,"['A number of other countries have, however, also implemented a carbon trading system  at a national or sub-national level, or have one in development  including Canada, China, Japan, New Zealand, South Korea, Switzerland and the United States, according to the European Commission', 'As of July, 46 countries are pricing emissions through carbon taxes or emissions trading schemes (ETS), according to the International Monetary Fund.', ""NZ's agricultural emissions aren't currently captured under the ETS (unlike other sources like industrial processes)."", ""The number of emission units released for auction is designed to meet New Zealand's international obligations."", 'With many New Zealand farms having been converted to forestry due to rising carbon prices in recent years, feedback last week closed on a proposal to change settings in the Emissions Trading Scheme, where permanent plantings of exotic forests, like pine forests, would be excluded from the scheme from next year.', 'China, South Korea, Canada, Japan, New Zealand, Switzerland and the US already have a number of national or regional systems, however the international carbon market is said to develop through a bottom-up approach, whereby the EU ETS will be linked with other international systems, with a common aim to reduce the amount of emissions.']",T
Claims_Climate_B2.0_10,The EU Emission trading scheme aims to reduce emissions,"[""The European Union has decided not to wait for the IMO to make a decision and has announced that starting next year,ships calling at European ports will have to begin paying into the bloc's emissions trading scheme, which serves the same function as a carbon tax."", ""European Union Commission President Ursula von der Leyen on Tuesday (30 August) rebuffed a call by Polish Prime Minister Mateusz Morawiecki to temporarily suspend the EU's Emission Trading System (ETS) in order to stabilise power prices."", 'Although cap and trade systems reduce emissions and can lead to faster cuts in pollution, they also tend to increase the price of oil, coal, and natural gas in an effort to force companies to switch to alternative forms of energy.', ""The EU ETS is a cornerstone of the EU's policy to combat climate change and a key tool for curbing greenhouse gas emissions cost-effectively."", ""To achieve the EU's overall greenhouse gas emissions reduction target for 2030, the sectors covered by the EU Emissions Trading System (EU ETS) must reduce their emissions by 43% compared to 2005 levels."", 'To increase the pace of emissions cuts, the overall number of emission allowances will decline at an annual rate of 2.2% from 2021 onwards, compared to 1.74% currently.']",T
Claims_Climate_B2.0_11,Agriculture is a small emission sector,"[""Given that the agricultural sector accounts for 50% of NZ's gross emissions, approximately 94% of N20 emissions and 91% of biogenic methane emissions[4], it is critical that agriculture contributes to meeting NZ's climate goals"", 'Sectors that must act to mitigate climate change include energy, transportation, waste management, manufacturing, agriculture and forestry, it said', 'The scheme is very effective because of that reach - although agriculture, which is a major emitter, is not covered and has been allowed instead to work with government officials to come up with a plan to price emissions by 2025 as an alternative to the ETS', 'But it will take time for the country to make the large cuts needed in transport and agriculture, and to electrify factory processes, and tree planting will always be part of the mix to offset unavoidable emissions', 'Meanwhile, there are fears that long-term overplanting exotics could also lead to lower ETS prices, disincentivising investment and innovation in low-carbon technology and suppressing moves to make actual reductions in emissions.', "".The UK, Scottish and Welsh Governments and Northern Ireland Department of Agriculture, Environment and Rural Affairs  collectively making up the UK ETS Authority  have established the scheme to increase the climate ambition of the UK's carbon pricing policy, while protecting the competitiveness of UK businesses.""]",F
Claims_Climate_B2.0_12,Agriculture is a large emitter,"['But Robertson said the agricultural sector was too big an emitter - nearly 50 percent of the total - not to take action as quickly as possible.', ""Agriculture is a major winner in the government's plan to cut emissions, despite farmers having yet to pay a cent into the pot of money set aside for climate spending."", 'The Climate Change Minister and Minister of Agriculture are required by the Climate Change Response Act 2002 (CCRA) to report on a pricing system by 31 December 2022.', 'Likewise, agriculture is a significant source of environmental emissions and incidents.', 'Recent years have seen SOx emissions from regulated facilities fall by 90%, while ammonia emissions, mainly from farms that are not regulated by the Environment Agency, have not fallen.', ' It calls for evidence on how we might improve the measuring of agricultural emissions to support future decarbonisation policy; whether this would be done though the UK ETS or by a different means. Other high emitting sectors will be considered at a later point.']",T
Claims_Climate_B2.0_13,The EU is aiming to half shipping emissions by 2050,"[""Looking ahead, shipping is set to be included in the EU's Emission Trading Scheme (meaning carbon permits will be required for voyages in EU waters), while the International Maritime Organisation  the UN body that regulates shipping  has pledged that by 2050 the industry's emissions will be half their 2008 levels."", ""The shipping industry's regulator,the International Maritime Organization (IMO),has set a rather underwhelming target of cutting greenhouse emissions in half by 2050"", ""The European Union has decided not to wait for the IMO to make a decision and has announced that starting next year,ships calling at European ports will have to begin paying into the bloc's emissions trading scheme, which serves the same function as a carbon tax."", 'On 14 July 2021, the European Commission adopted a series of legislative proposals setting out how it intends to achieve climate neutrality in the EU by 2050, including the intermediate target of an at least 55% net reduction in greenhouse gas emissions by 2030.', 'The committee also agreed to expand the ETS scheme to cover shipping emissions from 2024 and to accelerate the phase-out of free allowances in a bid to speed up the decarbonisation of industries like cement, steel and chemicals.', 'Last July the European Commission proposed adding shipping to the ETS gradually from 2023 until 2026 when shipowners would need to buy permits covering all their emissions inside the EU and 50% of their emissions from international voyages starting and ending in the EU.']",N
Claims_Climate_B2.0_14,James Shaw is New Zealands climate change minister,"['It has been a very long journey and it is well past time we got going, said James Shaw, the climate change minister and Green party co-leader, adding that working with farmers to reduce emissions was a priority, rather than relying on offsetting emissions through forestry', 'Climate change: James Shaw distances himself from agricultural emissions group proposals', ' New Zealand has a ""Herculean task to do in a nine-year period because we\\\'ve been a bit late getting started on reducing emissions, like many other countries"", climate change minister James Shaw said at the signing ceremony at the UN Cop 26 climate summit in Glasgow.', 'Marc Daalder explains Climate Change Minister James Shaw rang the NZX bell in Wellington to mark the start of the first ever auction of carbon credits under the Emissions Trading Scheme.', 'Climate change: James Shaw distances himself from agricultural emissions group proposals', 'New Zealand has a ""Herculean task to do in a nine-year period because we\\\'ve been a bit late getting started on reducing emissions, like many other countries"", climate change minister James Shaw said at the signing ceremony at the UN Cop 26 climate summit in Glasgow.']",T
Claims_Climate_B2.0_15,Jacinda Ardern is New Zealands Climate Change Minister,"['Given the failure that is vocational education provider Te Pukenga, its lack of accountability with Te Whatu Ora and the reaction to its Three Waters programme, Jacinda Ardern is now under increasing pressure to show voters that the agriculture emissions scheme must be more than a proposal and become reality.', 'New Zealand Prime Minister Jacinda Ardern has sparked controversy over a proposed farmers tax on cow and sheep gases to reduce greenhouse emissions.', 'It has been a very long journey and it is well past time we got going, said James Shaw, the climate change minister and Green party co-leader, adding that working with farmers to reduce emissions was a priority, rather than relying on offsetting emissions through forestry', 'There is no question that we need to cut the amount of methane we are putting into the atmosphere, and an effective emissions pricing system for agriculture will play a key part in how we achieve that,"" New Zealand\\\'s climate change minister James Shaw said.', ""New Zealand has unveiled a plan to tax sheep and cattle burps in a bid to tackle one of the country's biggest sources of greenhouse gases."", 'Press Release  ACT New ZealandThe targets set by James Shaw under the Zero Carbon Act were never achievable and the High Courts recent ruling proves it.']",F
Claims_Climate_B2.0_16,Indoniessia has an ETS,"[""The intended collaboration centers around IDX's emission trading scheme that is slated to launch in 2025, and MVGX's job is to help IDX build a carbon registry and exchange with blockchain as the infrastructure layer, TechCrunch's Rita Liao reports."", ""Indonesia's scheme will not be a classic cap-and-trade system as it will not limit the total emissions of coal-fired power plants. In some ways it will operate more like a baseline-and-credit system that sets different benchmarks for different categories of coal-fired power plants."", 'View all partnersSenior Analyst, Climateworks CentreSenior Analyst (Economics and Governance), Climateworks CentreIndonesia, one of the biggest emitters  in the world, is planning to launch its pilot emissions trading scheme in July, which can possibly become the first national carbon market in Southeast Asia.', ""View all partnersSenior Analyst (Economics and Governance), Climateworks CentreSenior Analyst, Climateworks CentreIndonesia, one of the world's biggest coal producers and greenhouse emitters, plans to launch its pilot emissions trading scheme in July, which can possibly lead to the implementation of the first national carbon market in Southeast Asia."", ""Indonesia plans to bring forward its peak in greenhouse gas (GHG) emissions from electricity generation, following Jarkata's agreement to a plan co-led by the US and Japan that will require $20bn in public and private financing over a 3-5 year period."", 'The Oceania nation, situated north of Australia and neighbouring Indonesia, has over 90 per cent of its 463,000 km_ of land covered by forests, but logging and commercial farming in the early years of this centuryhave caused 0.5 per cent of its forests to be lost annually, according to a US-based group, Coalition for Rainforest Nations.']",F
Claims_Climate_B2.0_17,The safe guard mechanisim was introduced by the Austrailen coalition government,"[""For people deeply embedded in the mechanics of how governments plan to cut greenhouse gas emissions, the safeguard mechanism has become a reasonably familiar subject since it was introduced by the Coalition six years ago  even though the Morrison government and its predecessors didn't like to talk about it much."", ""Yes, if Labor's much-anticipated paper on fixing Australia's mediocre emissions-reduction framework, released today, is any guide.At present, Australia relies on the controversial safeguard mechanism to encourage big emitters such as fossil fuel power plants and manufacturers to reduce their pollution.This framework  alongside the Emissions Reduction Fund  was introduced during the Coalition years to reduce carbon dioxide pollution at low cost."", 'As well as the review into ACCUsthe federal government has also initiated a review into the Safeguard Mechanism, which will put requirements on the big polluters to shrink their emissions.', ""The surge in activity is a sign of growing confidence that Climate Change and Energy Minister Chris Bowen's safeguard mechanism changes are on track to begin in July, and suggests some investors are betting Ian Chubb's review of Australian Carbon Credit Units (ACCUs) will remove doubts about the credibility of some credits."", 'Not mentioned by the Daily Telegraph either is that the safeguard mechanism  covering the 215 biggest polluting facilities  was introduced by the Coalition and designed to eventually cut emissions from heavy industry', ""The question is, will Labor seize the chance to move away from them, and instead reduce emissions?What's the best way forward for Australia?Let's say Labor's tweaks to the safeguard mechanism become law.""]",N
Claims_Climate_B2.0_18,The New Zealand Green Party implemented a windfall tax,"[""Last week, the Green Party released a discussion document on what it's called an excess profits tax."", ""The proposal comes on the back of data showing that in the 2021 financial year, corporate profits reached $103 billion, up $24.5 billion on the previous year. And you'll recall that the corporate tax take for the year to June 2022 was almost $20 billion."", "" But it is also only fair that the top 1% of UK earners, who are disproportionately responsible for such a large amount of the UK's greenhouse gas emissions, pay a wealth tax."", 'In our latest review of sector coverage in the national media, the government is said to be mulling plans to extend the energy windfall tax and expand its scope to include low-carbon generators.', ""Pressed on the issue by Green Party MP Caroline Lucas during Prime Minister's Questions today, the Prime Minister said he stands by the moratorium."", 'Professor of International Politics, University of ManchesterMatthew Paterson is a member of the Green Party.']",N
Claims_Climate_B2.0_19,The top 1% of earners produce as much co2 as the bottom 10%,"['The top 1% of earners in the UK are responsible for the same amount of carbon dioxide emissions in a single year as the bottom 10% over more than two decades, new data has shown.', 'Nonetheless, similar to     other European countries, most of the fiscal support has gone to measures     that are untargeted and distort price signals, such as electricity tax     reductions and fuel rebates.', 'One chastised the highly inadequate steps to date by rich nations to cut emissions of Earth-warming greenhouse gases, such as those from burning fossil fuels.', 'However, CO2 emission allowances quickly became financial instruments in the hands of wealthy investors.', 'As his fortune grew, Bankman-Fried turned to more traditional pastimes of the galactically wealthy: political donorship and philanthropy.', 'The remainder is budgetary income, which the EU does allow to be used to soften the blow caused by high energy prices.']",N
Claims_Climate_B2.0_2,New Zealand wants to create a carbon trading system,"['The Emissions Trading Scheme is one of the most important drivers of the changes needed to have any hope of avoiding the catastrophic impacts of climate change. Photo: PHOTO NZSince it was launched nearly 15 years ago it has been under constant reform - and the government is working on yet more changes right now.', 'The ETS covers about half of all emissions in Aotearoa including almost all from fossil fuels, industrial processes and waste.', 'Carbon prices hit record highs in many jurisdictions, including the European Union, California, New Zealand, the Republic of Korea, Switzerland and Canada.', 'The report, which presents the latest carbon pricing developments around the world, finds that there are 68 direct carbon pricing instruments operating today: 36 carbon taxes and 32 Emissions Trading Systems (ETSs).', ""NZ's agricultural emissions aren't currently captured under the ETS (unlike other sources like industrial processes)."", ""As for New Zealand, 44.1% of all greenhouse gas emissions are now subject to a positive Net Effective Carbon Rate' which has not changed since 2018.""]",F
