Claim_topic_id,Evidence_topic_id,Label
Claims_Climate_B2.0_1,Evidence_Climate_B2.0_1,T
Claims_Climate_B2.0_1,Evidence_Climate_B2.0_2,T
Claims_Climate_B2.0_1,Evidence_Climate_B2.0_3,T
Claims_Climate_B2.0_1,Evidence_Climate_B2.0_4,T
Claims_Climate_B2.0_1,Evidence_Climate_B2.0_5,T
Claims_Climate_B2.0_1,Evidence_Climate_B2.0_6,T
Claims_Climate_B2.0_2,Evidence_Climate_B2.0_7,F
Claims_Climate_B2.0_2,Evidence_Climate_B2.0_8,F
Claims_Climate_B2.0_2,Evidence_Climate_B2.0_9,F
Claims_Climate_B2.0_2,Evidence_Climate_B2.0_10,F
Claims_Climate_B2.0_2,Evidence_Climate_B2.0_11,F
Claims_Climate_B2.0_2,Evidence_Climate_B2.0_12,F
Claims_Climate_B2.0_3,Evidence_Climate_B2.0_13,T
Claims_Climate_B2.0_3,Evidence_Climate_B2.0_14,T
Claims_Climate_B2.0_3,Evidence_Climate_B2.0_15,T
Claims_Climate_B2.0_3,Evidence_Climate_B2.0_16,T
Claims_Climate_B2.0_3,Evidence_Climate_B2.0_17,T
Claims_Climate_B2.0_3,Evidence_Climate_B2.0_18,T
Claims_Climate_B2.0_4,Evidence_Climate_B2.0_19,F
Claims_Climate_B2.0_4,Evidence_Climate_B2.0_20,F
Claims_Climate_B2.0_4,Evidence_Climate_B2.0_21,F
Claims_Climate_B2.0_4,Evidence_Climate_B2.0_22,F
Claims_Climate_B2.0_4,Evidence_Climate_B2.0_23,F
Claims_Climate_B2.0_4,Evidence_Climate_B2.0_24,F
Claims_Climate_B2.0_5,Evidence_Climate_B2.0_25,T
Claims_Climate_B2.0_5,Evidence_Climate_B2.0_26,T
Claims_Climate_B2.0_5,Evidence_Climate_B2.0_27,T
Claims_Climate_B2.0_5,Evidence_Climate_B2.0_28,T
Claims_Climate_B2.0_5,Evidence_Climate_B2.0_29,T
Claims_Climate_B2.0_5,Evidence_Climate_B2.0_30,T
Claims_Climate_B2.0_6,Evidence_Climate_B2.0_31,F
Claims_Climate_B2.0_6,Evidence_Climate_B2.0_32,F
Claims_Climate_B2.0_6,Evidence_Climate_B2.0_33,F
Claims_Climate_B2.0_6,Evidence_Climate_B2.0_34,F
Claims_Climate_B2.0_6,Evidence_Climate_B2.0_35,F
Claims_Climate_B2.0_6,Evidence_Climate_B2.0_36,F
Claims_Climate_B2.0_7,Evidence_Climate_B2.0_37,T
Claims_Climate_B2.0_7,Evidence_Climate_B2.0_38,T
Claims_Climate_B2.0_7,Evidence_Climate_B2.0_39,T
Claims_Climate_B2.0_7,Evidence_Climate_B2.0_40,T
Claims_Climate_B2.0_7,Evidence_Climate_B2.0_41,T
Claims_Climate_B2.0_7,Evidence_Climate_B2.0_42,T
Claims_Climate_B2.0_8,Evidence_Climate_B2.0_43,F
Claims_Climate_B2.0_8,Evidence_Climate_B2.0_44,F
Claims_Climate_B2.0_8,Evidence_Climate_B2.0_45,F
Claims_Climate_B2.0_8,Evidence_Climate_B2.0_46,F
Claims_Climate_B2.0_8,Evidence_Climate_B2.0_47,F
Claims_Climate_B2.0_8,Evidence_Climate_B2.0_48,F
Claims_Climate_B2.0_9,Evidence_Climate_B2.0_49,F
Claims_Climate_B2.0_9,Evidence_Climate_B2.0_50,F
Claims_Climate_B2.0_9,Evidence_Climate_B2.0_51,F
Claims_Climate_B2.0_9,Evidence_Climate_B2.0_52,F
Claims_Climate_B2.0_9,Evidence_Climate_B2.0_53,F
Claims_Climate_B2.0_9,Evidence_Climate_B2.0_54,F
Claims_Climate_B2.0_10,Evidence_Climate_B2.0_55,T
Claims_Climate_B2.0_10,Evidence_Climate_B2.0_56,T
Claims_Climate_B2.0_10,Evidence_Climate_B2.0_57,T
Claims_Climate_B2.0_10,Evidence_Climate_B2.0_58,T
Claims_Climate_B2.0_10,Evidence_Climate_B2.0_59,T
Claims_Climate_B2.0_10,Evidence_Climate_B2.0_60,T
Claims_Climate_B2.0_11,Evidence_Climate_B2.0_61,F
Claims_Climate_B2.0_11,Evidence_Climate_B2.0_62,F
Claims_Climate_B2.0_11,Evidence_Climate_B2.0_63,F
Claims_Climate_B2.0_11,Evidence_Climate_B2.0_64,F
Claims_Climate_B2.0_11,Evidence_Climate_B2.0_65,F
Claims_Climate_B2.0_11,Evidence_Climate_B2.0_66,F
Claims_Climate_B2.0_12,Evidence_Climate_B2.0_67,T
Claims_Climate_B2.0_12,Evidence_Climate_B2.0_68,T
Claims_Climate_B2.0_12,Evidence_Climate_B2.0_69,T
Claims_Climate_B2.0_12,Evidence_Climate_B2.0_70,T
Claims_Climate_B2.0_12,Evidence_Climate_B2.0_71,T
Claims_Climate_B2.0_12,Evidence_Climate_B2.0_72,T
Claims_Climate_B2.0_13,Evidence_Climate_B2.0_73,N
