Evidence_topic_id,Article_topic_id,Evidence_text
Evidence_Climate_B2.0_1,Emission trading scheme_9385,"A number of other countries have, however, also implemented a carbon trading system  at a national or sub-national level, or have one in development  including Canada, China, Japan, New Zealand, South Korea, Switzerland and the United States, according to the European Commission"
Evidence_Climate_B2.0_2,Emission trading scheme_9389,"As of July, 46 countries are pricing emissions through carbon taxes or emissions trading schemes (ETS), according to the International Monetary Fund."
Evidence_Climate_B2.0_3,Emission trading scheme_9562,NZ's agricultural emissions aren't currently captured under the ETS (unlike other sources like industrial processes).
Evidence_Climate_B2.0_4,Emission trading scheme_9573,The number of emission units released for auction is designed to meet New Zealand's international obligations.
Evidence_Climate_B2.0_5,Emission trading scheme_9589,"With many New Zealand farms having been converted to forestry due to rising carbon prices in recent years, feedback last week closed on a proposal to change settings in the Emissions Trading Scheme, where permanent plantings of exotic forests, like pine forests, would be excluded from the scheme from next year."
Evidence_Climate_B2.0_6,Emission trading scheme_9751,"China, South Korea, Canada, Japan, New Zealand, Switzerland and the US already have a number of national or regional systems, however the international carbon market is said to develop through a bottom-up approach, whereby the EU ETS will be linked with other international systems, with a common aim to reduce the amount of emissions."
Evidence_Climate_B2.0_7,Emission trading scheme_9417,The Emissions Trading Scheme is one of the most important drivers of the changes needed to have any hope of avoiding the catastrophic impacts of climate change. Photo: PHOTO NZSince it was launched nearly 15 years ago it has been under constant reform - and the government is working on yet more changes right now.
Evidence_Climate_B2.0_8,Emission trading scheme_9417,"The ETS covers about half of all emissions in Aotearoa including almost all from fossil fuels, industrial processes and waste."
Evidence_Climate_B2.0_9,Emission trading scheme_9469,"Carbon prices hit record highs in many jurisdictions, including the European Union, California, New Zealand, the Republic of Korea, Switzerland and Canada."
Evidence_Climate_B2.0_10,Emission trading scheme_9469,"The report, which presents the latest carbon pricing developments around the world, finds that there are 68 direct carbon pricing instruments operating today: 36 carbon taxes and 32 Emissions Trading Systems (ETSs)."
Evidence_Climate_B2.0_11,Emission trading scheme_9562,NZ's agricultural emissions aren't currently captured under the ETS (unlike other sources like industrial processes).
Evidence_Climate_B2.0_12,Emission trading scheme_9402,"As for New Zealand, 44.1% of all greenhouse gas emissions are now subject to a positive Net Effective Carbon Rate' which has not changed since 2018."
Evidence_Climate_B2.0_13,Emission trading scheme_9386,"We agreed to continue to support the steel industry by free allowances, Peter Liese, a German lawmaker and the Parliament's lead negotiator on the Emissions Trading Scheme (ETS), said in a statement after talks with EU member states and the European Commission held on Monday (10 October)"
Evidence_Climate_B2.0_14,Emission trading scheme_9663,"Peter Liese, a German Christian Democrat who steered the original law through the European Parliament and led the debate on the stop the clock one-year suspension, said he was disappointed with the Montreal deal."
Evidence_Climate_B2.0_15,Emission trading scheme_9663,"Members of the European Parliament, which together with the EU's 28 member states would have to approve the Commission proposal for it to become law, have also raised objections, saying the Montreal agreement is empty."
Evidence_Climate_B2.0_16,Emission trading scheme_9386,"According to the German lawmaker, the Commission's proposal would have entailed a much bigger step for the steel industry than for other industries as it would have tightened the benchmark against which free allowances for the steel industry are calculated."
Evidence_Climate_B2.0_17,Emission trading scheme_9464,"German lawmaker Peter Liese, who is drafting the European Parliament's position on the reforms, on Wednesday proposed an amendment that would lower the bar for policymakers to release more permits at times of rapid price rises."
Evidence_Climate_B2.0_18,Emission trading scheme_9464,The European Parliament's lead lawmaker on reforms to the EU carbon market on Wednesday (16 February) proposed rules to make it easier for policymakers to intervene in the scheme if prices rise too fast.
Evidence_Climate_B2.0_19,Emission trading scheme_9426,"The EU carbon market is responsible for 10% of the rise in electricity prices, according to Peter Liese, a German MEP who is steering the revision of the EU's Emissions Trading Scheme (ETS) in the European Parliament."
Evidence_Climate_B2.0_20,Emission trading scheme_9426,"The EU carbon market is responsible for 10% of the rise in electricity prices, according to Peter Liese, a German MEP who is steering the revision of the EU's Emissions Trading Scheme (ETS) in the European Parliament."
Evidence_Climate_B2.0_21,Emission trading scheme_9432,"There are many points where the Parliament and Council agree in principle, the lead ETS negotiator Peter Liese said after the first trilogue in July."
Evidence_Climate_B2.0_22,Emission trading scheme_9464,"German lawmaker Peter Liese, who is drafting the European Parliament's position on the reforms, on Wednesday proposed an amendment that would lower the bar for policymakers to release more permits at times of rapid price rises."
Evidence_Climate_B2.0_23,Emission trading scheme_9663,"Peter Liese, a German Christian Democrat who steered the original law through the European Parliament and led the debate on the stop the clock one-year suspension, said he was disappointed with the Montreal deal."
Evidence_Climate_B2.0_24,Emission trading scheme_9510,"The plan, by German lawmaker Peter Liese, aims to overcome opposition from some EU countries and lawmakers worried about the social impact if the CO2 price hiked households' bills."
Evidence_Climate_B2.0_25,Emission trading scheme_9387,The EU Emissions Trading System (the EU ETS) is one of the key pillars of the EU's policy to combat climate change and to reduce greenhouse gas emissions from regulated sectors. It was launched in 2005
Evidence_Climate_B2.0_26,Emission trading scheme_9410,"The data set also includes information on auctions of allowances, compiled from auctioning platforms, as well as EEA estimates of ETS emissions for the period 2005 to 2012, to reflect the current scope of the ETS for the third trading period (20132020)."
Evidence_Climate_B2.0_27,Emission trading scheme_9417,The Emissions Trading Scheme is one of the most important drivers of the changes needed to have any hope of avoiding the catastrophic impacts of climate change. Photo: PHOTO NZSince it was launched nearly 15 years ago it has been under constant reform - and the government is working on yet more changes right now
Evidence_Climate_B2.0_28,Emission trading scheme_9751,The EU's Emissions Trading System (ETS) was launched in 2005 as a major pillar of the EU's climate policy and is renowned as being the world's largest scheme for trading greenhouse gas emission allowances.
Evidence_Climate_B2.0_29,Emission trading scheme_9403," In 2005, the world's first EU ETS was established, which adopted a decentralized governance model and greatly reduced global greenhouse gas emissions."
Evidence_Climate_B2.0_30,Emission trading scheme_9430," ETS initiatives have been implemented around the world for a long time, with the EU-ETS scheme being the first international carbon market established in 2005."
Evidence_Climate_B2.0_31,Emission trading scheme_9387,The EU Emissions Trading System (the EU ETS) is one of the key pillars of the EU's policy to combat climate change and to reduce greenhouse gas emissions from regulated sectors. It was launched in 2005
Evidence_Climate_B2.0_32,Emission trading scheme_9387,"Since its launch in 2005, the EU ETS has been subject to considerable changes and developments."
Evidence_Climate_B2.0_33,Emission trading scheme_9410,"The data set also includes information on auctions of allowances, compiled from auctioning platforms, as well as EEA estimates of ETS emissions for the period 2005 to 2012, to reflect the current scope of the ETS for the third trading period (20132020)."
Evidence_Climate_B2.0_34,Emission trading scheme_9430,"ETS initiatives have been implemented around the world for a long time, with the EU-ETS scheme being the first international carbon market established in 2005."
Evidence_Climate_B2.0_35,Emission trading scheme_9437,"The EU emissions trading scheme, in place since 2005, applies to industrial companies across the bloc, of which 1,000 are in France."
Evidence_Climate_B2.0_36,Emission trading scheme_9438," Other ETS, including the world's second-largest in Europe, also took time to get established, but trading volumes have increased steadily since its launch in 2005."
Evidence_Climate_B2.0_37,Emission trading scheme_9390,The Indian government has green-lighted the creation of a national carbon market that will be key to decarbonising heavy industry and helping shape international carbon trading.
Evidence_Climate_B2.0_38,Emission trading scheme_9505," Among other things, the bill proposes a momentous carbon market framework in India to incentivize carbon emission reduction."
Evidence_Climate_B2.0_39,Emission trading scheme_9397,"The aim is to reduce emissions and to pursue a low carbon path more vigorously  providing an opportunity to re-imagine and refresh the development paradigm, the draft read"
Evidence_Climate_B2.0_40,Emission trading scheme_9397,"The Wire Science spoke to Maria Chirayil and Ashok Sreenivas, co-authors of the Prayas report, to understand the manner in which emissions are currently regulated (or not) in India and the implications for the carbon market"
Evidence_Climate_B2.0_41,Emission trading scheme_9397,"India is on track to establish a nationwide carbon market. In August, Lok Sabha passed a Bill to amend the Energy Conservation Act 2001 to provide a legal basis for the market. Essentially, the government will set quotas for allowable emissions and allow companies that successfully reduce their emissions to below the threshold to sell the balance as carbon credits' to others who haven't done so."
Evidence_Climate_B2.0_42,Emission trading scheme_9415,India needs to develop Carbon Pricing Instruments.
Evidence_Climate_B2.0_43,Emission trading scheme_9390,"The creation of a national carbon market in India, depending on its institutional setup, policy integration, and design could offer a mechanism for reducing emissions, or it could result in serious economic costs."
Evidence_Climate_B2.0_44,Emission trading scheme_9390,"A planned national carbon market for India, the world's third-largest emitter, could become one of the biggest mitigation experiments ever attempted, getting the country on track to meet its net-zero greenhouse gas emissions goal by the promised date of 2070."
Evidence_Climate_B2.0_45,Emission trading scheme_9397,India is on track to establish a nationwide carbon market
Evidence_Climate_B2.0_46,Emission trading scheme_9415," India needs to develop Carbon Pricing Instruments. Carbon pricing can take the form of Carbon Tax or Crediting, or a Carbon Emission Trading scheme ~ a cap-and-trade system that depends on government allotments or permits."
Evidence_Climate_B2.0_47,Emission trading scheme_9422,"India's first experience with ETS was a pilot scheme for particulate matter (PM), introduced in 2019 in Surat, Gujarat."
Evidence_Climate_B2.0_48,Emission trading scheme_9397,"The Wire Science spoke to Maria Chirayil and Ashok Sreenivas, co-authors of the Prayas report, to understand the manner in which emissions are currently regulated (or not) in India and the implications for the carbon market"
Evidence_Climate_B2.0_49,Emission trading scheme_9561,Proponents of cap and trade argue that it is a palatable alternative to acarbon tax. Both measures are attempts to reduce environmental damage without causing undue economic hardship to the industry.
Evidence_Climate_B2.0_50,Emission trading scheme_9392,"There are a number of industrial decarbonisation schemes, including energy efficiency and emissions trading schemes, that we administer for the UK and regulate in England. At the heart of all these schemes is the goal of reducing greenhouse gas emissions with a particular focus on carbon emissions."
Evidence_Climate_B2.0_51,Emission trading scheme_9392,"We regulate more than 10,000 organisations in the UK and in 2021, we successfully delivered compliance rates of over 95% for the:The UK Emissions Trading Scheme (UK ETS) and Ozone-Depleting Substances and Fluorinated Greenhouse Gases Regulations replaced UK participation in the European regulations and systems from January 2021.In 2021, we continued to support the government's EU Exit strategy and the transition of these schemes to the UK."
Evidence_Climate_B2.0_52,Emission trading scheme_9392,Brexit is a considerable opportunity to simplify and reform EU legacy legislation for the better.
Evidence_Climate_B2.0_53,Emission trading scheme_9386,The European Parliament has adopted a common position on the European Emissions Trading Scheme (EU-ETS) reform and the bloc's forthcoming carbon border tax (CBAM) following a compromise between the biggest parties.
Evidence_Climate_B2.0_54,Emission trading scheme_9399,"The European Union has decided not to wait for the IMO to make a decision and has announced that starting next year,ships calling at European ports will have to begin paying into the bloc's emissions trading scheme, which serves the same function as a carbon tax."
Evidence_Climate_B2.0_55,Emission trading scheme_9399,"The European Union has decided not to wait for the IMO to make a decision and has announced that starting next year,ships calling at European ports will have to begin paying into the bloc's emissions trading scheme, which serves the same function as a carbon tax."
Evidence_Climate_B2.0_56,Emission trading scheme_9405,European Union Commission President Ursula von der Leyen on Tuesday (30 August) rebuffed a call by Polish Prime Minister Mateusz Morawiecki to temporarily suspend the EU's Emission Trading System (ETS) in order to stabilise power prices.
Evidence_Climate_B2.0_57,Emission trading scheme_9561,"Although cap and trade systems reduce emissions and can lead to faster cuts in pollution, they also tend to increase the price of oil, coal, and natural gas in an effort to force companies to switch to alternative forms of energy."
Evidence_Climate_B2.0_58,Emission trading scheme_9743,The EU ETS is a cornerstone of the EU's policy to combat climate change and a key tool for curbing greenhouse gas emissions cost-effectively.
Evidence_Climate_B2.0_59,Emission trading scheme_9737,"To achieve the EU's overall greenhouse gas emissions reduction target for 2030, the sectors covered by the EU Emissions Trading System (EU ETS) must reduce their emissions by 43% compared to 2005 levels."
Evidence_Climate_B2.0_60,Emission trading scheme_9737,"To increase the pace of emissions cuts, the overall number of emission allowances will decline at an annual rate of 2.2% from 2021 onwards, compared to 1.74% currently."
Evidence_Climate_B2.0_61,Emission trading scheme_9562,"Given that the agricultural sector accounts for 50% of NZ's gross emissions, approximately 94% of N20 emissions and 91% of biogenic methane emissions[4], it is critical that agriculture contributes to meeting NZ's climate goals"
Evidence_Climate_B2.0_62,Emission trading scheme_9495,"Sectors that must act to mitigate climate change include energy, transportation, waste management, manufacturing, agriculture and forestry, it said"
Evidence_Climate_B2.0_63,Emission trading scheme_9417,"The scheme is very effective because of that reach - although agriculture, which is a major emitter, is not covered and has been allowed instead to work with government officials to come up with a plan to price emissions by 2025 as an alternative to the ETS"
Evidence_Climate_B2.0_64,Emission trading scheme_9417,"But it will take time for the country to make the large cuts needed in transport and agriculture, and to electrify factory processes, and tree planting will always be part of the mix to offset unavoidable emissions"
Evidence_Climate_B2.0_65,Emission trading scheme_9417,"Meanwhile, there are fears that long-term overplanting exotics could also lead to lower ETS prices, disincentivising investment and innovation in low-carbon technology and suppressing moves to make actual reductions in emissions."
Evidence_Climate_B2.0_66,Emission trading scheme_9477,".The UK, Scottish and Welsh Governments and Northern Ireland Department of Agriculture, Environment and Rural Affairs  collectively making up the UK ETS Authority  have established the scheme to increase the climate ambition of the UK's carbon pricing policy, while protecting the competitiveness of UK businesses."
Evidence_Climate_B2.0_67,Emission trading scheme_9543,But Robertson said the agricultural sector was too big an emitter - nearly 50 percent of the total - not to take action as quickly as possible.
Evidence_Climate_B2.0_68,Emission trading scheme_9543,"Agriculture is a major winner in the government's plan to cut emissions, despite farmers having yet to pay a cent into the pot of money set aside for climate spending."
Evidence_Climate_B2.0_69,Emission trading scheme_9562,The Climate Change Minister and Minister of Agriculture are required by the Climate Change Response Act 2002 (CCRA) to report on a pricing system by 31 December 2022.
Evidence_Climate_B2.0_70,Emission trading scheme_9392,"Likewise, agriculture is a significant source of environmental emissions and incidents."
Evidence_Climate_B2.0_71,Emission trading scheme_9392,"Recent years have seen SOx emissions from regulated facilities fall by 90%, while ammonia emissions, mainly from farms that are not regulated by the Environment Agency, have not fallen."
Evidence_Climate_B2.0_72,Emission trading scheme_9412, It calls for evidence on how we might improve the measuring of agricultural emissions to support future decarbonisation policy; whether this would be done though the UK ETS or by a different means. Other high emitting sectors will be considered at a later point.
Evidence_Climate_B2.0_73,Emission trading scheme_9393,"Looking ahead, shipping is set to be included in the EU's Emission Trading Scheme (meaning carbon permits will be required for voyages in EU waters), while the International Maritime Organisation  the UN body that regulates shipping  has pledged that by 2050 the industry's emissions will be half their 2008 levels."
Evidence_Climate_B2.0_74,Emission trading scheme_9399,"The shipping industry's regulator,the International Maritime Organization (IMO),has set a rather underwhelming target of cutting greenhouse emissions in half by 2050"
