Annotation_id,Claim_topic_id,Evidence_topic_id,Claim_text,Label,Evidence Label,Evidence_text,Article_topic_id,Reason
B_2.0,Claims_Climate_B2.0_1,Evidence_Climate_B2.0_1,New Zealand has a carbon trading system,T,T,"A number of other countries have, however, also implemented a carbon trading system  at a national or sub-national level, or have one in development  including Canada, China, Japan, New Zealand, South Korea, Switzerland and the United States, according to the European Commission",Emission trading scheme_9385,New Zealand has an existing emissions trade scheme
B_2.0,Claims_Climate_B2.0_1,Evidence_Climate_B2.0_2,New Zealand has a carbon trading system,T,N,"As of July, 46 countries are pricing emissions through carbon taxes or emissions trading schemes (ETS), according to the International Monetary Fund.",Emission trading scheme_9389,
B_2.0,Claims_Climate_B2.0_1,Evidence_Climate_B2.0_3,New Zealand has a carbon trading system,T,T,NZ's agricultural emissions aren't currently captured under the ETS (unlike other sources like industrial processes).,Emission trading scheme_9562,
B_2.0,Claims_Climate_B2.0_1,Evidence_Climate_B2.0_4,New Zealand has a carbon trading system,T,T,The number of emission units released for auction is designed to meet New Zealand's international obligations.,Emission trading scheme_9573,
B_2.0,Claims_Climate_B2.0_1,Evidence_Climate_B2.0_5,New Zealand has a carbon trading system,T,T,"With many New Zealand farms having been converted to forestry due to rising carbon prices in recent years, feedback last week closed on a proposal to change settings in the Emissions Trading Scheme, where permanent plantings of exotic forests, like pine forests, would be excluded from the scheme from next year.",Emission trading scheme_9589,
B_2.0,Claims_Climate_B2.0_1,Evidence_Climate_B2.0_6,New Zealand has a carbon trading system,T,T,"China, South Korea, Canada, Japan, New Zealand, Switzerland and the US already have a number of national or regional systems, however the international carbon market is said to develop through a bottom-up approach, whereby the EU ETS will be linked with other international systems, with a common aim to reduce the amount of emissions.",Emission trading scheme_9751,
B_2.0,Claims_Climate_B2.0_2,Evidence_Climate_B2.0_7,New Zealand wants to create a carbon trading system,F,F,The Emissions Trading Scheme is one of the most important drivers of the changes needed to have any hope of avoiding the catastrophic impacts of climate change. Photo: PHOTO NZSince it was launched nearly 15 years ago it has been under constant reform - and the government is working on yet more changes right now.,Emission trading scheme_9417,New Zealand has an ETS system which is a form of carbon trading
B_2.0,Claims_Climate_B2.0_2,Evidence_Climate_B2.0_8,New Zealand wants to create a carbon trading system,F,F,"The ETS covers about half of all emissions in Aotearoa including almost all from fossil fuels, industrial processes and waste.",Emission trading scheme_9417,
B_2.0,Claims_Climate_B2.0_2,Evidence_Climate_B2.0_9,New Zealand wants to create a carbon trading system,F,F,"Carbon prices hit record highs in many jurisdictions, including the European Union, California, New Zealand, the Republic of Korea, Switzerland and Canada.",Emission trading scheme_9469,
B_2.0,Claims_Climate_B2.0_2,Evidence_Climate_B2.0_10,New Zealand wants to create a carbon trading system,F,F,"The report, which presents the latest carbon pricing developments around the world, finds that there are 68 direct carbon pricing instruments operating today: 36 carbon taxes and 32 Emissions Trading Systems (ETSs).",Emission trading scheme_9469,
B_2.0,Claims_Climate_B2.0_2,Evidence_Climate_B2.0_11,New Zealand wants to create a carbon trading system,F,F,NZ's agricultural emissions aren't currently captured under the ETS (unlike other sources like industrial processes).,Emission trading scheme_9562,
B_2.0,Claims_Climate_B2.0_2,Evidence_Climate_B2.0_12,New Zealand wants to create a carbon trading system,F,F,"As for New Zealand, 44.1% of all greenhouse gas emissions are now subject to a positive Net Effective Carbon Rate' which has not changed since 2018.",Emission trading scheme_9402,
B_2.0,Claims_Climate_B2.0_3,Evidence_Climate_B2.0_13,Peter Liese is a german lawmaker,T,T,"We agreed to continue to support the steel industry by free allowances, Peter Liese, a German lawmaker and the Parliament's lead negotiator on the Emissions Trading Scheme (ETS), said in a statement after talks with EU member states and the European Commission held on Monday (10 October)",Emission trading scheme_9386,Peter Liese is a german lawmaker 
B_2.0,Claims_Climate_B2.0_3,Evidence_Climate_B2.0_14,Peter Liese is a german lawmaker,T,T,"Peter Liese, a German Christian Democrat who steered the original law through the European Parliament and led the debate on the stop the clock one-year suspension, said he was disappointed with the Montreal deal.",Emission trading scheme_9663,
B_2.0,Claims_Climate_B2.0_3,Evidence_Climate_B2.0_15,Peter Liese is a german lawmaker,T,N,"Members of the European Parliament, which together with the EU's 28 member states would have to approve the Commission proposal for it to become law, have also raised objections, saying the Montreal agreement is empty.",Emission trading scheme_9663,
B_2.0,Claims_Climate_B2.0_3,Evidence_Climate_B2.0_16,Peter Liese is a german lawmaker,T,T,"According to the German lawmaker, the Commission's proposal would have entailed a much bigger step for the steel industry than for other industries as it would have tightened the benchmark against which free allowances for the steel industry are calculated.",Emission trading scheme_9386,
B_2.0,Claims_Climate_B2.0_3,Evidence_Climate_B2.0_17,Peter Liese is a german lawmaker,T,T,"German lawmaker Peter Liese, who is drafting the European Parliament's position on the reforms, on Wednesday proposed an amendment that would lower the bar for policymakers to release more permits at times of rapid price rises.",Emission trading scheme_9464,
B_2.0,Claims_Climate_B2.0_3,Evidence_Climate_B2.0_18,Peter Liese is a german lawmaker,T,N,The European Parliament's lead lawmaker on reforms to the EU carbon market on Wednesday (16 February) proposed rules to make it easier for policymakers to intervene in the scheme if prices rise too fast.,Emission trading scheme_9464,
B_2.0,Claims_Climate_B2.0_4,Evidence_Climate_B2.0_19,Peter Liese is a Canadian lawmaker,F,F,"The EU carbon market is responsible for 10% of the rise in electricity prices, according to Peter Liese, a German MEP who is steering the revision of the EU's Emissions Trading Scheme (ETS) in the European Parliament.",Emission trading scheme_9426,Peter Liese is a german lawmaker not a Canadian one
B_2.0,Claims_Climate_B2.0_4,Evidence_Climate_B2.0_20,Peter Liese is a Canadian lawmaker,F,F,"The EU carbon market is responsible for 10% of the rise in electricity prices, according to Peter Liese, a German MEP who is steering the revision of the EU's Emissions Trading Scheme (ETS) in the European Parliament.",Emission trading scheme_9426,
B_2.0,Claims_Climate_B2.0_4,Evidence_Climate_B2.0_21,Peter Liese is a Canadian lawmaker,F,N,"There are many points where the Parliament and Council agree in principle, the lead ETS negotiator Peter Liese said after the first trilogue in July.",Emission trading scheme_9432,
B_2.0,Claims_Climate_B2.0_4,Evidence_Climate_B2.0_22,Peter Liese is a Canadian lawmaker,F,F,"German lawmaker Peter Liese, who is drafting the European Parliament's position on the reforms, on Wednesday proposed an amendment that would lower the bar for policymakers to release more permits at times of rapid price rises.",Emission trading scheme_9464,
B_2.0,Claims_Climate_B2.0_4,Evidence_Climate_B2.0_23,Peter Liese is a Canadian lawmaker,F,F,"Peter Liese, a German Christian Democrat who steered the original law through the European Parliament and led the debate on the stop the clock one-year suspension, said he was disappointed with the Montreal deal.",Emission trading scheme_9663,
B_2.0,Claims_Climate_B2.0_4,Evidence_Climate_B2.0_24,Peter Liese is a Canadian lawmaker,F,F,"The plan, by German lawmaker Peter Liese, aims to overcome opposition from some EU countries and lawmakers worried about the social impact if the CO2 price hiked households' bills.",Emission trading scheme_9510,
