Theme,Point Index,RAG Distance (PCA),CARAG Distance (PCA),CARAG_U Distance (PCA),Difference (PCA - CARAG),Difference (PCA - CARAG_U),RAG Distance (t-SNE),CARAG Distance (t-SNE),CARAG_U Distance (t-SNE),Difference (t-SNE - CARAG),Difference (t-SNE - CARAG_U)
Climate,0,0.06422338545109922,0.6878722138302523,0.16261467809410352,0.6236488283791531,0.0983912926430043,14.953634335408811,15.63886385527133,15.070144754810173,0.6852295198625189,0.11651041940136153
Climate,1,0.2651042013610505,0.12973307937019898,0.15019035782081852,-0.13537112199085152,-0.11491384354023199,15.149912753742246,14.825737101091937,14.804955467029957,-0.32417565265030923,-0.34495728671228854
Climate,2,0.07034368142074404,0.15320726789589517,0.16129295806373706,0.08286358647515113,0.09094927664299302,14.906134310056313,14.808432310882532,14.798560672075723,-0.09770199917378086,-0.10757363798058961
Climate,3,0.1567068995945051,0.24835204728168883,0.15624906390475432,0.09164514768718374,-0.00045783568975077404,14.93093936630258,15.190732547678147,14.810184522697005,0.2597931813755672,-0.12075484360557454
Climate,4,0.17120338667913068,0.14752267279957673,0.182439105060879,-0.02368071387955395,0.011235718381748305,14.788578357469778,14.80853547486079,14.771123828934533,0.019957117391012247,-0.017454528535244762
Climate,5,0.13493763944761641,0.09584048581005723,0.08299482994606065,-0.03909715363755918,-0.05194280950155576,15.086378380018974,14.970481567580109,14.942154262095691,-0.11589681243886574,-0.14422411792328305
Climate,6,0.3511303827933187,0.1957147761561051,0.20759613917753464,-0.1554156066372136,-0.14353424361578407,15.22608364832592,14.763332433840331,14.749946994699012,-0.4627512144855892,-0.4761366536269076
Climate,7,0.3488382851580899,0.27476587919649986,0.11908869419623337,-0.07407240596159004,-0.22974959096185654,15.297335185498316,14.838865842479056,14.932914244824417,-0.4584693430192601,-0.36442094067389874
Climate,8,0.5536527107117513,0.1451274819312949,0.2875392278274514,-0.4085252287804564,-0.26611348288429987,15.472375668911223,15.06526256312246,15.21121735225452,-0.40711310578876336,-0.26115831665670264
Climate,9,0.38836057527949763,0.2556719782117407,0.1741768966845531,-0.13268859706775693,-0.21418367859494453,14.900176288303948,14.82879430180996,14.832665388442745,-0.07138198649398753,-0.06751089986120284
Avg Distance,N/A,0.2504501147896804,0.23338078824833097,0.16841819507761255,-0.017069326541349357,-0.08203191971206777,15.07115482940381,14.973903799861663,14.892386748786375,-0.09725102954214578,-0.17876808061743307
Covid,0,0.12176030108275998,0.23023509079959442,0.24085042165188691,0.10847478971683444,0.11909012056912693,12.78283629815937,12.746671565514282,12.579236055881003,-0.036164732645088904,-0.20360024227836782
Covid,1,0.1413623201358892,0.2630266105519892,0.29406848891376663,0.12166429041610002,0.15270616877787743,12.610769173194145,12.654856397820053,12.561708202327672,0.044087224625908306,-0.04906097086647243
Covid,2,0.34418137935549287,0.3104675365955226,0.30508503312364005,-0.03371384275997025,-0.03909634623185282,12.656172200032985,12.657377564904804,12.69262485704378,0.0012053648718186594,0.03645265701079481
Covid,3,0.1922504761489542,0.20077117430214833,0.21900645209767733,0.008520698153194117,0.026755975948723115,12.601719192826028,12.588941143757108,12.587033299306363,-0.012778049068920438,-0.014685893519665427
Covid,4,0.15288654935147633,0.23312449461705415,0.17002220282276337,0.08023794526557781,0.017135653471287038,12.756818044786437,12.667093350990664,12.63654233589794,-0.08972469379577319,-0.12027570888849759
Covid,5,0.2194234596209729,0.2087134502825586,0.16584956118022384,-0.01071000933841429,-0.05357389844074906,12.674687880138178,12.69076649687686,12.596327069693853,0.016078616738681717,-0.07836081044432497
Covid,6,0.2119118502973103,0.18959622539279486,0.1601213710894293,-0.02231562490451544,-0.05179047920788099,12.890913656458043,12.750859103981822,12.60862343695035,-0.14005455247622045,-0.2822902195076935
Covid,7,0.6613437409852879,0.17707096926036928,0.6123022357021984,-0.48427277172491867,-0.04904150528308948,13.393892325238294,12.905114348373509,13.333811465322151,-0.4887779768647853,-0.06008085991614287
Covid,8,0.39760155165325367,0.2770345597304815,0.6175292627200877,-0.12056699192277215,0.219927711066834,13.128578783914131,12.958667107554682,13.313070933010332,-0.16991167635944926,0.18449214909620082
Covid,9,0.5557492294782976,0.35785538405863926,0.6253317882218478,-0.19789384541965838,0.06958255874355013,13.304174041519037,13.040242692300032,13.375382045448447,-0.2639313492190052,0.07120800392941007
Avg Distance,N/A,0.2998470858109695,0.24478954955911525,0.34101668175235217,-0.05505753625185428,0.04116959594138263,12.880056159626665,12.766058977207381,12.82843597008819,-0.1139971824192834,-0.05162018953847589
Electric_Vehicles,0,0.2399374140138079,0.17405084343721178,0.13523893798493938,-0.06588657057659611,-0.1046984760288685,33.99021243082679,34.04691694887219,34.05123831127287,0.05670451804540022,0.06102588044608126
Electric_Vehicles,1,0.6842545724313016,0.13781026879862182,0.14249613071078032,-0.5464443036326798,-0.5417584417205212,34.839325007711274,34.29217653622005,34.08211937536752,-0.5471484714912265,-0.757205632343755
Electric_Vehicles,2,0.5026829733875794,0.1595533427707584,0.1255449282356986,-0.343129630616821,-0.37713804515188076,34.62340215776504,34.05234995155235,34.10675287600683,-0.5710522062126913,-0.5166492817582125
Electric_Vehicles,3,0.16298577731344394,0.137525928950046,0.20750990401004132,-0.02545984836339793,0.04452412669659739,34.191763993044304,34.02963749120598,33.981198565014076,-0.16212650183832267,-0.21056542803022893
Electric_Vehicles,4,0.4811189469690615,0.47111816747597335,0.6346815237156054,-0.010000779493088141,0.1535625767465439,34.445831692157896,34.43832599611863,34.752329682528504,-0.007505696039267207,0.3064979903706089
Electric_Vehicles,5,0.022696272403515218,0.1657048370050763,0.15673146854047035,0.14300856460156108,0.13403519613695514,34.1666335939353,34.05171185801477,34.02746909922548,-0.11492173592053234,-0.13916449470982428
Electric_Vehicles,6,0.2333625437109359,0.219808192485734,0.2670548377114252,-0.013554351225201905,0.03369229400048929,34.17645779469888,34.185079179357686,34.110578006270366,0.008621384658809461,-0.06587978842851072
Electric_Vehicles,7,0.29480642375138866,0.15875436607799537,0.156444671052911,-0.1360520576733933,-0.13836175269847767,34.28067926400379,34.05657776055928,34.05862147439962,-0.2241015034445084,-0.22205778960416467
