Theme,Point Index,RAG Distance (PCA),CARAG Distance (PCA),CARAG_U Distance (PCA),Difference (PCA - CARAG),Difference (PCA - CARAG_U),RAG Distance (t-SNE),CARAG Distance (t-SNE),CARAG_U Distance (t-SNE),Difference (t-SNE - CARAG),Difference (t-SNE - CARAG_U)
Climate,0,0.06185072907656987,0.6650730352810147,0.3097239382626035,0.6032223062044448,0.24787320918603367,41.14084786275803,41.80888608218951,41.4498146122908,0.6680382194314802,0.3089667495327717
Climate,1,0.22212526855546957,0.12751287596041552,0.14243640549843828,-0.09461239259505405,-0.0796888630570313,41.293670537154526,41.02311649357273,41.00819300185651,-0.2705540435817966,-0.2854775352980141
Climate,2,0.05171658354834153,0.14928122322564902,0.16051629383997543,0.0975646396773075,0.1087997102916339,41.121677954318514,41.003792199310155,40.99025676568033,-0.11788575500835918,-0.13142118863818553
Climate,3,0.1609238899453257,0.2521272479809779,0.15014084175788353,0.09120335803565222,-0.010783048187442162,41.103189748297225,41.39468120640037,41.00641883053082,0.29149145810314536,-0.09677091776640623
Climate,4,0.16030908345108938,0.14273617515525136,0.1805345323889941,-0.01757290829583802,0.020225448937904733,40.991218802690014,41.00814395611552,40.97124802339775,0.016925153425503936,-0.019970779292265206
Climate,5,0.13737122259318965,0.08405689164662719,0.08016334913359821,-0.05331433094656246,-0.05720787345959144,41.285499959202625,41.17526387625743,41.13418026356843,-0.11023608294519249,-0.1513196956341929
Climate,6,0.2792386370356172,0.19356685820282696,0.20445207034321253,-0.08567177883279023,-0.07478656669240466,41.353541379620786,40.95780665831108,40.94646608017805,-0.395734721309708,-0.407075299442738
Climate,7,0.3471473814300821,0.18718541484581536,0.11963313162606568,-0.15996196658426676,-0.22751424980401644,41.49751744771662,41.016359380105534,41.1150790326578,-0.4811580676110836,-0.3824384150588145
Climate,8,0.5167262916698426,0.12632005151186376,0.2305574034892913,-0.39040624015797887,-0.2861688881805513,41.60110231240731,41.23654299508416,41.37097229376975,-0.36455931732315605,-0.23013001863755989
Climate,9,0.14000139949691326,0.1751569533396643,0.1478284027494639,0.03515555384275104,0.007827003252550646,41.03107369190921,41.00238403717631,41.00484995731959,-0.028689654732893644,-0.026223734589613912
