Theme,Point Index,RAG Distance (PCA),CARAG Distance (PCA),Difference (PCA),RAG Distance (t-SNE),CARAG Distance (t-SNE),Difference (t-SNE)
Climate,0,0.05900287371506535,0.6625524909500482,0.6035496172349828,37.33157132305555,37.86029255572281,0.5287212326672588
Climate,1,0.21796440025581867,0.12339378161153813,-0.09457061864428054,37.51635063874616,37.2024469215681,-0.3139037171780643
Climate,2,0.053067436994175994,0.14416244363155095,0.09109500663737496,37.25047462988569,37.206111307568285,-0.04436332231740181
Climate,3,0.15172584326905203,0.25335670211939276,0.10163085885034073,37.36095049160718,37.52321390635566,0.16226341474848027
Climate,4,0.15514726124276734,0.1397046194682752,-0.015442641774492144,37.18907317592318,37.19501571259104,0.005942536667859599
Climate,5,0.1367629562596419,0.08562585310600813,-0.051137103153633776,37.41914153348788,37.26531617225699,-0.15382536123089352
Climate,6,0.2748828989712426,0.18780842955099972,-0.08707446942024286,37.57503066373311,37.16358855450694,-0.4114421092261722
Climate,7,0.34731091489323584,0.19298849724675476,-0.15432241764648108,37.56893739029857,37.10823413525048,-0.4607032550480952
Climate,8,0.146108258425021,0.17892095920206277,0.032812700777041764,37.155137214654296,37.12228479864441,-0.032852416009887975
Climate,9,0.514266215821648,0.1251629034791514,-0.3891033123424966,37.80438510883739,37.42469553340339,-0.37968957543399995
Average (Climate),Average,0.20562390598476687,0.2093676680365782,0.003743762051811317,37.4171052170229,37.30711995978681,-0.1099852572360902
Covid,0,0.1133994832397791,0.22641654162955835,0.11301705838977925,31.585083211449984,31.560844949530125,-0.024238261919858672
Covid,1,0.14229960224297014,0.25052355758200207,0.10822395533903192,31.412045848008002,31.466465499020558,0.05441965101255519
Covid,2,0.299875469390865,0.2719913081990862,-0.027884161191778833,31.4419210405045,31.444440571251537,0.0025195307470369244
Covid,3,0.1912936648157705,0.19956742173897074,0.008273756923200232,31.41581259681416,31.403054549290136,-0.012758047524023652
Covid,4,0.06457043458205866,0.1354345595161049,0.07086412493404623,31.544007606729664,31.44922559197488,-0.09478201475478443
Covid,5,0.177891709711462,0.1735732452198267,-0.00431846449163531,31.47116763199664,31.484332970002193,0.013165338005553195
Covid,6,0.18104807195041842,0.17683478553071116,-0.004213286419707252,31.68781112712887,31.5558158363417,-0.1319952907871702
Covid,7,0.6404661289035509,0.16871705600100512,-0.4717490729025458,32.15982860720903,31.689487857305203,-0.47034074990382635
Covid,8,0.36874751163045705,0.19940411036670164,-0.1693434012637554,31.901130550619254,31.724237397885933,-0.17689315273332085
Covid,9,0.5523673416992496,0.31774007945166804,-0.23462726224758157,32.0992274551956,31.800492334700525,-0.29873512049507767
Average (Covid),Average,0.2731959418166581,0.21202026652356348,-0.061175675293094645,31.67180356756557,31.55783975573028,-0.11396381183528703
Electric_Vehicles,0,0.19893398002895324,0.11551813791859093,-0.0834158421103623,76.1226437552144,76.17484087411296,0.05219711889856171
Electric_Vehicles,1,0.6795739790047275,0.1404991326672516,-0.5390748463374759,76.96211536276559,76.42365526689068,-0.5384600958749104
Electric_Vehicles,2,0.49838001995654296,0.10929297109039127,-0.3890870488661517,76.73830928556411,76.18087522046527,-0.5574340650988461
Electric_Vehicles,3,0.11115715321234332,0.13383938428046313,0.022682231068119812,76.31144725252496,76.15745429649006,-0.15399295603489804
Electric_Vehicles,4,0.46275313565061565,0.4668569326035235,0.004103796952907857,76.55044281706309,76.54090363876682,-0.00953917829626505
Electric_Vehicles,5,0.026079179890941977,0.16428670709096094,0.13820752720001897,76.29791072750335,76.18711489017205,-0.11079583733129539
Electric_Vehicles,6,0.15648355041168135,0.11880393793247396,-0.0376796124792074,76.3119683615281,76.31785791737833,0.005889555850231432
Electric_Vehicles,7,0.2151091366688548,0.140265294483162,-0.07484384218569282,76.39862067324316,76.18078762268665,-0.21783305055650715
Electric_Vehicles,8,0.46072547355824556,0.3522183870925221,-0.10850708646572343,76.73537100626844,76.59010049746246,-0.1452705088059787
Electric_Vehicles,9,0.0718373017052784,0.11598729425959885,0.04414999255432045,76.23177540792301,76.2198637146517,-0.011911693271315471
Average (Electric_Vehicles),Average,0.2881032910088185,0.18575681794189383,-0.10234647306692465,76.46606046495982,76.2973453939077,-0.16871507105211947
Overall Average,Overall,0.2556410462700811,0.20238158416734517,-0.05325946210273599,48.518323083182764,48.38743503647493,-0.13088804670783494
